"CampaignRepositoryContentID","IsDeleted","CampaignContentID","RepositoryContentName","Size","IsTrash","FullPath","CampaignContentTypeID","CampaignContentTypeIdentifier","AuditCreatedDate","AuditLastUpdatedDate"
"11615","False","8989","RESSUSCITACAO CARDIOPULMONAR BASICO (RCPB) - H. ALVORADA BRASILIA  ","0","False","/home/s/a/sarah_silva_2","2021","ReactionSurvey::ReactionSurveyContent","25/08/2020 09:05:32","25/08/2020 09:05:32"
"11716","False","9090","Avaliação de Reação - Presencial","0","False","/EDUCACAO AMERICAS","2021","ReactionSurvey::ReactionSurveyContent","26/08/2020 09:51:56","26/08/2020 10:20:53"
"11717","False","9091","Teste RT","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","26/08/2020 15:57:57","26/08/2020 15:57:57"
"11817","False","9191","Teste aditivo RT","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","26/08/2020 15:46:54","26/08/2020 15:46:54"
"11918","False","9292","Avaliação de Reação","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER/2021_2020 Tambore /LGPD - EAD ","2021","ReactionSurvey::ReactionSurveyContent","02/09/2020 18:41:31","02/09/2020 18:43:05"
"12019","False","9393","Líder Mentor","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER/2021_2020 Tambore /Lider Mentor","2021","ReactionSurvey::ReactionSurveyContent","09/09/2020 16:12:44","09/09/2020 16:19:45"
"12120","False","9494","Avaliação de reação","0","False","/Talent/Services/TRIAGEM ESI","2021","ReactionSurvey::ReactionSurveyContent","11/09/2020 14:13:42","11/09/2020 14:13:42"
"12221","False","9595","Avaliação de reação","0","False","/Talent/Services/TRIAGEM ESI","2021","ReactionSurvey::ReactionSurveyContent","11/09/2020 14:13:46","11/09/2020 14:13:46"
"12322","False","4646","Teste_Workshop_CO430","0","True","/","2020","Video::WebMeetingContent","25/09/2020 13:10:47","25/09/2020 13:11:13"
"12423","False","9696","Mapeamento - Treinamentos Movimentação Financeira","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER/2021_2020 Tambore /Skill Movimentacao Financeira ","2021","ReactionSurvey::ReactionSurveyContent","19/10/2020 18:00:09","22/10/2020 11:20:20"
"12524","False","9797","AVALIAÇÃO EAD","0","False","/Talent/AMIL UHG/Avaliacao de Reacao","2021","ReactionSurvey::ReactionSurveyContent","28/10/2020 08:46:13","21/12/2020 19:27:20"
